Date,Open,High,Low,Close,Adj Close,Volume
"Oct 18, 2024",236.18,236.18,234.01,235.0,235.0,46416300
"Oct 17, 2024",233.43,233.85,230.52,232.15,232.15,32993800
"Oct 16, 2024",231.6,232.12,229.84,231.78,231.78,34082200
"Oct 15, 2024",233.61,237.49,232.37,233.85,233.85,64751400
"Oct 14, 2024",228.7,231.73,228.6,231.3,231.3,39882100
"Oct 11, 2024",229.3,229.41,227.34,227.55,227.55,31759200
"Oct 10, 2024",227.78,229.5,227.17,229.04,229.04,28183500
"Oct 9, 2024",225.23,229.75,224.83,229.54,229.54,33591100
"Oct 8, 2024",224.3,225.98,223.25,225.77,225.77,31855700
"Oct 7, 2024",224.5,225.69,221.33,221.69,221.69,39505400
"Oct 4, 2024",227.9,228.0,224.13,226.8,226.8,37245100
"Oct 3, 2024",225.14,226.81,223.32,225.67,225.67,34044200
"Oct 2, 2024",225.89,227.37,223.02,226.78,226.78,32880600
"Oct 1, 2024",229.52,229.65,223.74,226.21,226.21,63285000
"Sep 30, 2024",230.04,233.0,229.65,233.0,233.0,54541900
"Sep 27, 2024",228.46,229.52,227.3,227.79,227.79,34026000
"Sep 26, 2024",227.3,228.5,225.41,227.52,227.52,36636700
"Sep 25, 2024",224.93,227.29,224.02,226.37,226.37,42308700
"Sep 24, 2024",228.65,229.35,225.73,227.37,227.37,43556100
"Sep 23, 2024",227.34,229.45,225.81,226.47,226.47,54146000
"Sep 20, 2024",229.97,233.09,227.62,228.2,228.2,318679900
"Sep 19, 2024",224.99,229.82,224.63,228.87,228.87,66781300
"Sep 18, 2024",217.55,222.71,217.54,220.69,220.69,59894900
"Sep 17, 2024",215.75,216.9,214.5,216.79,216.79,45519300
"Sep 16, 2024",216.54,217.22,213.92,216.32,216.32,59357400
"Sep 13, 2024",223.58,224.04,221.91,222.5,222.5,36766600
"Sep 12, 2024",222.5,223.55,219.82,222.77,222.77,37498200
"Sep 11, 2024",221.46,223.09,217.89,222.66,222.66,44587100
"Sep 10, 2024",218.92,221.48,216.73,220.11,220.11,51591000
"Sep 9, 2024",220.82,221.27,216.71,220.91,220.91,67180000
"Sep 6, 2024",223.95,225.24,219.77,220.82,220.82,48423000
"Sep 5, 2024",221.63,225.48,221.52,222.38,222.38,36615400
"Sep 4, 2024",221.66,221.78,217.48,220.85,220.85,43840200
"Sep 3, 2024",228.55,229.0,221.17,222.77,222.77,50190600
"Aug 30, 2024",230.19,230.4,227.48,229.0,229.0,52990800
"Aug 29, 2024",230.1,232.92,228.88,229.79,229.79,51906300
"Aug 28, 2024",227.92,229.86,225.68,226.49,226.49,38052200
"Aug 27, 2024",226.0,228.85,224.89,228.03,228.03,35934600
"Aug 26, 2024",226.76,227.28,223.89,227.18,227.18,30602200
"Aug 23, 2024",225.66,228.22,224.33,226.84,226.84,38677300
"Aug 22, 2024",227.79,228.34,223.9,224.53,224.53,43695300
"Aug 21, 2024",226.52,227.98,225.05,226.4,226.4,34765500
"Aug 20, 2024",225.77,227.17,225.45,226.51,226.51,30299000
"Aug 19, 2024",225.72,225.99,223.04,225.89,225.89,40687800
"Aug 16, 2024",223.92,226.83,223.65,226.05,226.05,44340200
"Aug 15, 2024",224.6,225.35,222.76,224.72,224.72,46414000
"Aug 14, 2024",220.57,223.03,219.7,221.72,221.72,41960600
"Aug 13, 2024",219.01,221.89,219.01,221.27,221.27,44155300
